,0,1,2,3,4,5,6,7
0,s,s,s,s,s,s,s,s
1,D,U,d,d,U,d,u,s
2,D,U,d,d,U,d,u,s
3,D,U,d,d,U,d,u,s
4,D,U,d,d,U,d,u,s
5,D,U,d,d,U,d,u,s
6,D,U,d,d,u,s,s,s
7,D,U,d,d,d,u,s,s
8,D,U,d,d,D,U,D,s
9,D,U,d,d,D,U,D,s
10,D,U,d,d,D,s,s,s
11,D,U,D,U,D,s,s,s
12,D,U,D,U,D,s,s,s
13,d,u,D,U,D,s,s,s
14,s,s,u,d,D,s,s,s
15,u,d,U,d,D,s,s,s
16,u,d,D,U,D,s,s,s
17,U,d,U,d,D,s,s,s
18,U,D,U,d,D,s,s,s
19,U,D,U,d,D,s,s,s
20,U,D,U,d,D,s,s,s
21,U,D,s,U,D,s,s,s
22,U,D,d,U,D,s,s,s
23,U,D,U,d,D,s,s,s
24,U,D,U,d,D,s,s,s
25,U,D,U,d,D,s,s,s
26,U,D,d,U,D,s,s,s
27,U,D,d,U,D,s,s,s
28,U,D,U,d,D,s,s,s
29,U,D,U,d,D,s,s,s
30,U,D,s,U,D,s,s,s
31,U,D,s,U,D,s,s,s
32,U,D,s,U,D,s,s,s
33,U,D,U,d,D,s,s,s
34,U,D,U,d,D,s,u,s
35,U,D,d,U,u,s,u,s
36,U,D,U,d,U,d,u,s
37,U,D,U,d,U,d,u,s
38,U,D,d,U,U,d,u,s
39,U,D,U,d,U,u,d,s
40,u,D,U,d,U,u,d,s
41,s,d,U,d,U,u,d,s
42,d,s,D,U,U,u,d,s
43,D,u,D,U,U,u,d,s
44,D,U,s,d,U,u,d,s
45,D,U,D,U,U,u,d,s
46,D,U,D,U,U,u,d,s
47,D,U,s,d,U,d,u,s
48,D,U,d,d,U,d,u,s
49,D,U,d,d,U,d,u,s
50,D,U,d,d,U,u,d,s
51,D,U,d,d,U,d,u,s
52,D,U,d,d,U,d,u,s
53,D,U,d,d,U,d,u,s
54,D,U,d,d,U,d,u,s
55,D,U,d,d,U,d,u,s
56,D,U,d,d,U,d,u,s
